scrapedURL,concactURL,Price,nestedAddress,totalAddress,bed,bath,sqFeet,imageURL,latitude,longitude,outputAddress,,original URL,http://calgary.craigslist.ca/search/apa/
/apa/4890284853.html,http://calgary.craigslist.ca/apa/4890284853.html,1500,1305 - 15th Avenue SW,"1305 - 15th Avenue SW, Calgary, Alberta, Canada",2,1,#N/A,http://images.craigslist.org/00606_cJi7RfaI5kd_600x450.jpg,51.039263,-114.091887,"1305 15 Avenue Southwest, Calgary, AB T3C 3V9, Canada",,,
/apa/4890254801.html,http://calgary.craigslist.ca/apa/4890254801.html,1600,815 - 4th Avenue SW,"815 - 4th Avenue SW, Calgary, Alberta, Canada",2,1,#N/A,http://images.craigslist.org/00E0E_a666AL58GZ5_600x450.jpg,51.049613,-114.079351,"815 4 Avenue Southwest, Calgary, AB T2P 0K5, Canada",,,
/apa/4888741657.html,http://calgary.craigslist.ca/apa/4888741657.html,1300,815 - 4th Avenue SW,"815 - 4th Avenue SW, Calgary, Alberta, Canada",1,1,#N/A,http://images.craigslist.org/00H0H_iQodfpA3TyJ_600x450.jpg,51.049613,-114.079351,"815 4 Avenue Southwest, Calgary, AB T2P 0K5, Canada",,,
/apa/4890257632.html,http://calgary.craigslist.ca/apa/4890257632.html,1100,815 - 4th Avenue SW,"815 - 4th Avenue SW, Calgary, Alberta, Canada",0,1,#N/A,http://images.craigslist.org/00G0G_90Tmj0wo9nr_600x450.jpg,51.049613,-114.079351,"815 4 Avenue Southwest, Calgary, AB T2P 0K5, Canada",,,
/apa/4897463873.html,http://calgary.craigslist.ca/apa/4897463873.html,1300,52nd ave,"52nd ave, Calgary, Alberta, Canada",3,1,#N/A,http://images.craigslist.org/01515_81RYoMEYOEO_600x450.jpg,51.100984,-114.135259,"52 Avenue Northwest, Calgary, AB T2L, Canada",,,
/apa/4897423083.html,http://calgary.craigslist.ca/apa/4897423083.html,475,,", Calgary, Alberta, Canada",0,#N/A,#N/A,http://images.craigslist.org/00S0S_3rBM89UKilQ_600x450.jpg,51.048615,-114.070846,"Calgary, AB, Canada",,,
/apa/4897316338.html,http://calgary.craigslist.ca/apa/4897316338.html,1070,Regal Terrace,"Regal Terrace, Calgary, Alberta, Canada",1,1,700,#N/A,51.063285,-114.042644,"Regal Crescent Northeast, Calgary, AB T2E, Canada",,,
/apa/4897286645.html,http://calgary.craigslist.ca/apa/4897286645.html,1250,1712 12 st sw,"1712 12 st sw, Calgary, Alberta, Canada",0,#N/A,#N/A,#N/A,51.037259,-114.091361,"1712 12 Street Southwest, Calgary, AB T2T 3M9, Canada",,,
/apa/4897207629.html,http://calgary.craigslist.ca/apa/4897207629.html,1050,Calgary,"Calgary, Calgary, Alberta, Canada",1,1,1200,#N/A,51.048615,-114.070846,"Calgary, AB, Canada",,,
/apa/4896961974.html,http://calgary.craigslist.ca/apa/4896961974.html,675,Bowness,"Bowness, Calgary, Alberta, Canada",1,1,#N/A,http://images.craigslist.org/00Z0Z_lD5aPprTHMB_600x450.jpg,51.089903,-114.195989,"Bowness, Calgary, AB, Canada",,,
/apa/4896910417.html,http://calgary.craigslist.ca/apa/4896910417.html,1,,", Calgary, Alberta, Canada",1,1,100,#N/A,51.048615,-114.070846,"Calgary, AB, Canada",,,
/apa/4864318983.html,http://calgary.craigslist.ca/apa/4864318983.html,1775,,", Calgary, Alberta, Canada",3,1,#N/A,http://images.craigslist.org/00x0x_5VTdeqnZXN1_600x450.jpg,51.048615,-114.070846,"Calgary, AB, Canada",,,
